"Nombre","Distrito","Valoración","Número de comentarios","Precio","Fecha","Dirección","CP","lat","long"
"CASUAL VINTAGE VALENCIA","Ciutat Vella, Valencia",8.1,3960,123,2022-06-19,"CALLE DE LA BARCELONINA, 1, Valencia ",46002,39.47134,-0.37632
"VINCCI LYS","Ciutat Vella, Valencia",8.7,5499,286,2022-06-19,"CALLE DE MARTÍNEZ CUBELLS, 5, Valencia ",46002,39.4683538,-0.3751913
"ILUNION AQUA 4","Camins al Grau, Valencia",8.2,6162,195.5,2022-06-19,"CARRER DE LUIS GARCÍA BERLANGA MARTÍ, 19-21, Valencia ",46023,39.45594,-0.34578
"SERCOTEL VALENCIA ALAMEDA 41","Camins al Grau, Valencia",9,1932,152.5,2022-06-19,"PASEO DE LA ALAMEDA, 41, Valencia ",46023,39.4726866,-0.3644008
"SH INGLES BOUTIQUE HOTEL","Ciutat Vella, Valencia",8.2,1271,185,2022-06-19,"CALLE  DEL MARQUÉS DE DOS AGUAS, 6, CIUDAD VIEJA, Valencia ",46002,39.4732021,-0.3743062
"EUROSTARS GRAN VALENCIA","Benicalap, Valencia",8.4,2563,206.5,2022-06-19,"CALLE DEL VALLE DE AYORA, 3, Valencia ",46015,39.4915771,-0.3982036
"YOU & CO. QUART BOUTIQUE","Extramurs, Valencia",8.8,1139,141.5,2022-06-19,"CALLE DOCTOR PESET CERVERA, 6, Valencia ",46008,39.4740918,-0.3869063
"ILUNION VALENCIA 4","Benicalap, Valencia",8.1,3380,174,2022-06-19,"CALLE DEL VALLE DE AYORA, 1, Valencia ",46015,39.4912973,-0.3980026
"ONLY YOU HOTEL VALENCIA","Ciutat Vella, Valencia",9.2,1532,290,2022-06-19,"PLAZA DE RODRIGO BOTET, 5, Valencia ",46002,39.471332,-0.3752529
"VINCCI PALACE","Ciutat Vella, Valencia",8.6,3579,264,2022-06-19,"CALLE DE LA PAZ, 42, CIUDAD VIEJA, Valencia ",46003,39.4735044,-0.3741584
